rank,model,forecast_file,n_test_predictions,MAE,RMSE,MASE
1,Chronos 2,chronos2_test_forecasts.csv,1704,43.72867640258216,75.27084161741952,0.6795953570059764
2,LightGBM,lightgbm_test_recursive_forecasts.csv,1704,68.58650218103983,105.13205904017715,1.0659153733901394
3,Seasonal Naive,seasonal_naive_test_forecasts.csv,1704,75.12969483568075,125.20614222809995,1.1676043270449772
4,AutoARIMA,auto_arima_test_forecasts.csv,1704,186.60680502080754,255.34133144553363,2.900090483195412
5,Naive,naive_test_forecasts.csv,1704,191.1144366197183,260.71227710241203,2.970144410222856
